timestamp,latency
1525978958351,3312
1525978810890,3110
1525978810890,1455
1525978876424,2168
1525978876424,3131
1525978884617,1055
1525978892805,1294
1525978892804,1345
1525978892804,1754
1525978892804,1323
1525978892807,1789
1525978892806,1347
1525978925574,1601
1525978925574,1601
1525978925574,1601
1525978982919,1267
1525978892801,1958
1525978892801,1984
1525978892801,1869
1525978892801,4019
1525978900993,1229
1525978900993,2032
1525978892800,2050
1525978892800,2006
1525978900992,4107
1525978892803,1719
1525978892803,1623
1525978892803,1416
1525978892803,1544
1525978892803,1375
1525978892803,2568
1525978892802,1871
1525978892802,4896
1525978892802,2973
1525978892802,3975
1525978794526,1935
1525978794525,1933
1525978925592,1618
1525978982934,1797
1525978982934,726
1525978982934,1703
1525978819092,2592
1525978982935,1697
1525978819090,1076
1525978819090,2591
1525978819118,962
1525978950185,3441
1525978950185,1127
1525978950185,1066
1525978950185,1127
1525978901035,1246
1525978901035,1704
1525978958378,7867
1525978958368,1000
1525978884641,1001
1525978794559,1968
1525978851902,2423
1525978851902,2301
1525978851902,1368
1525978851901,3207
1525978851901,2426
1525978851901,2426
1525978884661,955
1525978884682,1400
1525978909254,1716
1525978819137,952
1525978892867,1202
1525978892866,1300
1525978892866,1299
1525978810975,2973
1525978786398,1624
1525978786398,1612
1525978786398,1624
1525978802781,2119
1525978802781,2119
1525978802781,2119
1525978851932,2091
1525978778202,487
1525978778200,481
1525978974804,2952
1525978982996,1693
1525978982996,2018
1525978909266,1657
1525978909266,1621
1525978909266,1668
1525978810987,1327
1525978974824,1007
1525978974824,3758
1525978974824,3870
1525978974824,1007
1525978966630,2124
1525978925670,1561
1525978925670,1561
1525978966624,1252
1525978983008,615
1525978942048,1537
1525978942048,1537
1525978942048,1537
1525978909311,1611
1525978876541,1060
1525978942078,1567
1525978942078,1521
1525978860153,1329
1525978860150,2160
1525978950261,1142
1525978950261,1142
1525978901111,1257
1525978901111,1973
1525978966646,2143
1525978966640,1236
1525978950258,1639
1525978950258,1191
1525978974860,830
1525978950279,1115
1525978950279,813
1525978786434,1648
1525978778241,415
1525978884737,1178
1525978966684,2178
1525978901150,1289
1525978917521,1573
1525978917521,1572
1525978917521,1507
1525978917521,1549
1525978933905,1513
1525978933905,2632
1525978933905,1568
1525978933905,1260
1525978933904,1567
1525978933904,1567
1525978933904,1567
1525978942096,1471
1525978933906,1261
1525978933906,1261
1525978933906,1261
1525978974892,862
1525978933934,1288
1525978950315,1150
1525978884774,224
1525978966688,1261
1525978966689,2088
1525978991265,804
1525978876604,3975
1525978876604,1111
1525978901182,1718
1525978901182,1321
1525978942134,1509
1525978884812,75
1525978983118,710
1525978794700,1954
1525978794699,3271
1525978892997,1232
1525978892996,1231
1525978917572,1396
1525978917572,1509
1525978917572,1498
1525978892998,1233
1525978835650,1477
1525978835650,1387
1525978835650,1340
1525978843840,1485
1525978843840,2382
1525978860225,1352
1525978860225,2191
1525978884828,759
1525978917598,1422
1525978950356,994
1525978950356,1192
1525978901203,3960
1525978901203,1281
1525978909419,1661
1525978933991,1344
1525978966759,2056
1525978966759,4068
1525978876643,3002
1525978868477,841
1525978868477,841
1525978958583,1621
1525978958583,1621
1525978884850,1054
1525978802929,2267
1525978802929,2254
1525978811120,4449
1525978811120,9152
1525978811120,1458
1525978950413,1029
1525978974989,891
1525978974989,2631
1525978974989,891
1525978950408,979
1525978884868,1309
1525978884868,1308
1525978884868,1486
1525978966790,1191
1525978868485,625
1525978860288,1263
1525978950402,973
1525978893085,1310
1525978975005,906
1525978884893,1261
1525978868506,883
1525978868506,896
1525978868503,643
1525978884885,1322
1525978884885,1245
1525978942253,1614
1525978942253,1491
1525978843948,1148
1525978843948,1152
1525978843949,1149
1525978843949,2036
1525978843947,1504
1525978843947,4589
1525978843947,2146
1525978884905,1199
1525978909482,1713
1525978909482,1689
1525978909482,1713
1525978934053,1406
1525978884903,1255
1525978942270,1508
1525978983224,792
1525978983224,749
1525978950455,1008
1525978983223,1206
1525978778419,423
1525978975024,925
1525978893106,1331
1525978786637,1748
1525978786637,3145
1525978786637,3289
1525978786637,1741
1525978884938,1232
1525978958664,3810
1525978819402,2778
1525978819402,2286
1525978884939,1732
1525978958665,1083
1525978819401,3192
1525978819401,2067
1525978819401,3131
1525978917700,1524
1525978950471,1014
1525978876739,3580
1525978876739,1105
1525978942300,1536
1525978835794,1078
1525978835794,1284
1525978835793,1808
1525978835793,1288
1525978835793,1761
1525978950511,1082
1525978909547,1521
1525978909546,1741
1525978909546,2708
1525978909546,2708
1525978860390,1365
1525978860391,1365
1525978811234,3038
1525978975101,959
1525978975101,2100
1525978983288,1080
1525978958714,843
1525978909562,1536
1525978803063,2301
1525978811255,1513
1525978876790,6116
1525978884983,787
1525978786677,1631
1525978786677,2630
1525978786677,1630
1525978868594,994
1525978803058,2370
1525978803058,3964
1525978803058,3964
1525978966924,1058
1525978778506,498
1525978786697,1651
1525978786697,1597
1525978966922,1323
1525978966923,1886
1525978966923,1112
1525978966923,1112
1525978966923,1057
1525978950529,1100
1525978950530,1023
1525978819485,1031
1525978819485,1032
1525978934170,1485
1525978876823,2662
1525978876823,3424
1525978909588,1560
1525978917780,1523
1525978983317,724
1525978983318,1110
1525978778516,4232
1525978925969,1858
1525978925969,1782
1525978925969,1825
1525978925969,1737
1525978925968,1857
1525978925968,1857
1525978925968,1857
1525978925971,1658
1525978925971,1606
1525978925971,1662
1525978786704,1603
1525978925970,1702
1525978925970,2971
1525978901421,1255
1525978901421,2270
1525978950573,2551
1525978901420,1254
1525978901422,1200
1525978917806,1456
1525978917806,1456
1525978917806,1456
1525978852266,1359
1525978876842,2679
1525978876842,3022
1525978901419,1299
1525978950565,1042
1525978893220,5484
1525978893220,1444
1525978885029,1470
1525978950585,1161
1525978983353,2195
1525978893233,1455
1525978917839,1390
1525978827725,1275
1525978827720,1177
1525978827720,1213
1525978909642,1614
1525978827718,2402
1525978827718,1695
1525978827718,2902
1525978827718,1789
1525978827716,1209
1525978827716,1052
1525978827716,1253
1525978827716,1039
1525978827716,1052
1525978827717,1148
1525978827717,1257
1525978827714,1684
1525978827714,2375
1525978827714,1684
1525978827714,1614
1525978827714,4355
1525978950593,1474
1525978827715,1786
1525978827715,1958
1525978827715,3086
1525978827715,1949
1525978917824,1375
1525978917824,1417
1525978860480,1452
1525978827713,2197
1525978827713,2547
1525978827713,2219
1525978827713,1784
1525978844127,1192
1525978958810,1613
1525978844118,1183
1525978950613,1183
1525978827732,1309
1525978794990,3550
1525978794990,2186
1525978819566,1113
1525978860527,1029
1525978860524,2225
1525978860524,2131
1525978860524,1116
1525978860525,4274
1525978860525,2315
1525978860525,4205
1525978860525,1027
1525978893294,1255
1525978860523,2224
1525978893291,1254
1525978983403,1927
1525978778599,397
1525978844135,3569
1525978950628,797
1525978778597,356
1525978844128,3565
1525978860542,1044
1525978967039,3396
1525978934265,2690
1525978934265,1464
1525978934265,1464
1525978934265,1573
1525978934265,1464
1525978934265,1464
1525978934265,2810
1525978794998,2093
1525978794998,1980
1525978794997,2136
1525978794997,2150
1525978794997,2193
1525978885108,3258
1525978885108,861
1525978811380,3185
1525978811380,4709
1525978811380,1427
1525978811379,1602
1525978811379,4862
1525978778610,4651
1525978876913,3064
1525978982408,1332
1525978859525,1140
1525978859521,1922
1525978859521,3487
1525978851358,1473
1525978884126,872
1525978908700,1585
1525978933276,1287
1525978933276,1287
1525978933276,1286
1525978777624,3846
1525978867734,920
1525978867734,2314
1525978867735,854
1525978867735,3731
1525978933268,1361
1525978908688,1587
1525978933292,1302
1525978957871,1472
1525978982432,1317
1525978974267,1220
1525978957879,1586
1525978859570,1185
1525978777678,356
1525978908750,1635
1525978982475,1333
1525978867780,2360
1525978867780,1205
1525978867780,1204
1525978777667,345
1525978900547,978
1525978900572,1001
1525978900565,996
1525978900565,995
1525978900563,994
1525978974291,1212
1525978990701,322
1525978859628,1235
1525978794088,3197
1525978794088,1894
1525978794087,2118
1525978884196,914
1525978884196,1390
1525978884196,938
1525978884196,942
1525978884197,996
1525978966119,2518
1525978966119,1245
1525978966119,5324
1525978876002,1366
1525978876002,2181
1525978876002,2801
1525978876002,2756
1525978982496,902
1525978966114,1240
1525978785914,1592
1525978785913,2483
1525978785913,1563
1525978785913,1591
1525978949755,1228
1525978777719,393
1525978835062,3110
1525978835062,1766
1525978925173,1832
1525978835063,1197
1525978835063,1767
1525978835061,1194
1525978777715,390
1525978974320,3191
1525978974322,1180
1525978777734,403
1525978835074,2132
1525978835074,4905
1525978835072,1087
1525978835072,1080
1525978835072,2130
1525978843264,1263
1525978974338,4262
